Subject,age,height,Occasion
20,-0.0027,152.10,5
20,0.2466,152.40,6
20,0.5562,153.90,7
20,0.7781,154.90,8
20,0.9945,155.40,9
21,-1.0000,143.90,1
21,-0.7479,145.10,2
21,-0.4630,147.00,3
21,-0.1643,149.20,4
21,-0.0027,149.80,5
21,0.2466,151.50,6
21,0.5562,153.17,7
21,0.7781,156.90,8
21,0.9945,159.60,9
22,-1.0000,147.40,1
22,-0.7479,148.80,2
22,-0.4630,150.10,3
22,-0.1643,152.50,4
22,-0.0027,154.70,5
22,0.2466,156.00,6
22,0.5562,158.40,7
22,0.7781,161.50,8
22,0.9945,163.30,9
23,-1.0000,144.50,1
23,-0.7479,146.00,2
23,-0.4630,147.40,3
23,-0.1643,149.20,4
23,-0.0027,150.80,5
23,0.2466,152.50,6
23,0.5562,155.00,7
23,0.7781,156.80,8
23,0.9945,158.80,9
24,-1.0000,147.80,1
24,-0.7479,148.20,2
24,-0.4630,150.20,3
24,-0.1643,151.00,4
24,-0.0027,152.20,5
24,0.2466,153.60,6
24,0.5562,155.80,7
24,0.7781,159.20,8
24,0.9945,161.60,9
25,-1.0000,135.50,1
25,-0.7479,136.60,2
25,-0.4630,137.30,3
25,-0.1643,138.20,4
25,-0.0027,139.00,5
25,0.2466,139.50,6
25,0.5562,141.00,7
25,0.7808,142.70,8
25,0.9945,143.90,9
26,-1.0000,132.20,1
26,-0.7479,134.30,2
26,-0.4630,135.10,3
26,-0.1643,136.70,4
26,-0.0027,138.40,5
26,0.2466,138.90,6
26,0.5562,141.80,7
26,0.7781,142.60,8
26,1.0055,143.10,9
